seller_id,sales_velocity_6m,sales_growth_rate,rto_rate,dispatch_sla_compliance,avg_customer_rating,rating_trend,order_cancellation_rate,ad_spend_roi,account_age_months,total_orders_6m,catalog_size,prior_loan_default,risk_class,loan_limit
SELL_00030,22235.79,1.645784884848707,14.505760519689463,72.00231356187959,2.887218242457323,-0.054,10.12,1.6010236237317037,6,677,16,1,2,0
SELL_00031,69812.23,8.65,20.56,73.6,3.84,0.082,10.3,1.92,58,5000,227,0,1,13438
SELL_00032,102348.0,22.42,3.9,85.16,4.32,0.007,5.65,3.6,22,3899,194,0,0,56291
SELL_00033,58723.9,6.19,13.1,82.99,3.51,0.039,10.1,2.11,26,2972,98,0,1,16149
SELL_00034,24638.75,3.78,19.72,74.47,2.99,-0.25,12.08,1.66,3,325,34,0,2,1724
SELL_00035,108944.2,17.01,11.72,87.66,4.03,-0.037,11.03,2.76,41,5000,243,0,0,54472
SELL_00036,25339.58,0.39,15.24,77.21,3.42,0.03,13.32,1.46,60,4829,212,0,1,6968
SELL_00037,53938.56,15.09,9.54,79.43,3.64,-0.122,6.64,2.29,42,4673,183,0,0,26969
SELL_00038,5000.0,-8.76,19.36,68.51,2.91,-0.256,10.94,0.5,14,677,5,0,2,350
SELL_00039,5000.0,4.56,10.45,70.43,3.18,0.134,11.05,0.74,11,467,43,0,1,1375
SELL_00040,50855.14,11.0,12.79,79.73,3.76,0.149,9.0,2.58,18,2531,128,0,1,13985
SELL_00041,118448.3,18.54,9.86,88.69,4.59,0.02,5.06,1.91,54,5000,302,0,0,59224
SELL_00042,41633.49,7.66,14.81,83.6,3.96,-0.035,7.25,2.6,12,1157,72,0,1,11449
SELL_00043,26143.13,8.936538560143442,16.16508016937745,66.3363698101993,3.327543165264582,-0.198,9.29,1.3891564503869398,23,2196,44,1,2,0
SELL_00044,28104.37,2.75,13.28,83.09,3.44,0.159,9.39,2.3,12,1241,97,0,1,7728
SELL_00045,5000.0,3.95,18.8,71.73,2.99,-0.026,8.87,1.2,13,992,18,0,2,350
SELL_00046,38202.53,5.13,15.67,80.77,3.43,0.017,13.08,1.64,25,2177,117,0,1,10505
SELL_00047,31554.66,21.99,11.01,75.18,3.52,0.064,11.99,1.41,45,3868,233,0,0,15777
SELL_00048,125507.2,18.77,8.03,84.64,4.14,0.011,3.95,2.68,51,5000,337,0,0,62753
SELL_00049,92660.27,23.03,16.13,85.07,3.34,-0.191,9.02,2.08,58,5000,259,0,0,46330
SELL_00050,5000.0,-2.79,19.09,67.04,2.98,-0.127,11.32,1.11,19,1031,38,0,2,350
SELL_00051,82201.41,11.62,7.26,82.84,4.18,0.172,6.72,3.29,55,5000,297,0,0,45210
SELL_00052,33679.3,9.75,16.77,74.85,3.27,0.195,11.42,1.94,46,4140,177,0,1,9261
SELL_00053,39836.27,7.43,10.9,76.37,3.53,-0.111,12.34,1.45,36,3268,132,0,1,10954
SELL_00054,56475.12,13.73,10.43,85.54,3.85,0.021,9.33,2.49,45,4477,219,0,0,28237
SELL_00055,86257.82,23.13,11.47,88.25,3.91,0.088,7.34,2.82,8,2099,102,0,0,43128
SELL_00056,85930.88,26.73,12.62,86.13,4.39,0.212,9.02,3.48,29,3725,177,0,0,47261
SELL_00057,67650.38,7.74,10.03,78.3,3.15,-0.143,10.28,1.27,55,4964,201,0,1,18603
SELL_00058,42213.6,5.12,15.98,80.74,3.38,-0.045,9.39,1.88,53,4967,205,0,1,11608
SELL_00059,87486.19,12.17,13.26,83.63,4.38,0.164,2.49,3.18,55,5000,283,0,0,48117
SELL_00060,60770.6,18.32,8.58,85.35,4.06,0.023,6.59,2.77,32,3951,230,0,0,30385
SELL_00061,53835.3,13.53,14.15,83.4,3.85,0.151,11.1,2.14,51,4744,251,0,1,14804
SELL_00062,54100.82,4.7,6.47,82.43,3.24,0.073,10.65,2.3,44,4227,186,0,1,14877
SELL_00063,5000.0,1.75,10.33,71.22,2.71,-0.411,11.31,1.16,18,1138,79,0,1,1375
SELL_00064,5000.0,-10.69,20.12,77.42,2.76,-0.221,14.37,1.87,6,400,12,0,2,350
SELL_00065,35503.04,19.84,9.36,90.38,3.84,-0.206,7.22,3.49,18,1852,120,0,0,19526
SELL_00066,89544.1,27.84,8.47,89.81,3.85,0.133,7.8,3.31,19,3167,178,0,0,49249
SELL_00067,55156.43,22.35,13.76,81.51,3.67,-0.083,10.31,1.83,22,2388,99,0,1,15168
SELL_00068,91563.63,26.16,8.7,79.79,4.25,0.246,9.34,2.77,37,4906,208,0,0,45781
SELL_00069,83414.01,12.66,11.05,80.8,3.6,-0.089,9.24,2.52,32,3824,138,0,1,22938
SELL_00070,64666.39,-3.14,16.16,81.5,3.29,-0.019,12.16,1.2,56,4929,216,0,2,6466
SELL_00071,97757.11,18.86,8.31,81.04,3.7,0.129,8.28,2.57,41,4899,214,0,0,48878
SELL_00072,133476.74,25.01,11.25,90.59,4.2,0.223,4.48,4.11,59,5000,366,0,0,73412
SELL_00073,10017.22,10.22,13.86,78.35,2.77,0.167,11.33,1.93,3,268,31,0,2,1001
SELL_00074,103800.29,21.39,5.59,92.31,4.32,0.498,8.29,3.48,28,4134,178,0,0,57090
SELL_00075,5000.0,-13.75,18.81,67.86,2.26,-0.298,14.9,0.5,10,50,5,0,2,350
SELL_00076,106114.72,9.68,10.49,88.61,4.04,0.159,6.61,3.1,51,5000,254,0,0,53057
SELL_00077,44567.38,4.65,12.33,77.96,3.46,-0.122,9.33,1.74,35,3539,129,0,1,12256
SELL_00078,61724.77,1.57,9.81,80.63,3.71,-0.189,11.12,1.82,29,3116,137,0,1,16974
SELL_00079,87736.7,18.36,10.14,88.86,4.42,0.166,8.8,3.25,54,5000,241,0,0,48255
SELL_00080,5000.0,-12.61,17.74,73.07,2.47,-0.103,16.44,0.58,15,644,68,0,2,500
SELL_00081,39445.11,16.48,16.32,81.06,3.92,-0.181,13.28,1.72,33,3217,165,0,1,10847
SELL_00082,56650.97,8.78,12.25,76.42,3.79,-0.153,7.06,2.41,7,1576,68,0,1,15579
SELL_00083,102118.04,37.5,12.38,89.87,4.23,0.08,6.79,2.69,12,2967,114,0,0,51059
SELL_00084,54712.54,-5.1,12.88,85.48,3.43,-0.083,11.16,1.02,49,4400,213,0,1,15045
SELL_00085,22197.4,5.19,14.89,82.42,3.27,-0.158,11.33,1.91,30,2009,154,0,1,6104
SELL_00086,16879.27,5.06,15.22,80.84,3.67,-0.036,11.41,1.85,21,2142,101,0,1,4641
SELL_00087,98720.25,12.99,12.05,84.62,3.78,0.247,6.7,3.08,31,3973,169,0,1,29862
SELL_00088,135483.96,14.1,13.68,84.18,3.87,0.109,8.94,2.95,58,5000,288,0,1,37258
SELL_00089,12781.32,2.83,12.07,81.92,3.69,0.017,7.62,1.97,24,1978,103,0,1,3514
SELL_00090,47203.89,15.97,8.95,88.84,4.08,-0.306,6.6,2.98,20,2120,141,0,0,23601
SELL_00091,74498.15,6.88,12.19,83.83,3.45,-0.23,11.36,2.31,37,3945,173,0,1,20486
SELL_00092,46657.42,20.63,13.92,91.23,3.91,-0.003,8.99,3.47,4,1420,75,0,0,25661
SELL_00093,38474.0,5.03,12.49,77.55,3.51,-0.179,11.31,2.37,28,2961,103,0,1,10580
SELL_00094,67788.64,13.44,12.39,79.62,3.74,0.087,8.86,2.07,44,4516,216,0,1,18641
SELL_00095,26087.64,0.99,15.8,77.81,3.67,-0.179,11.63,1.99,20,1785,85,0,1,7174
SELL_00096,34781.2,-4.43,18.99,74.92,3.24,-0.076,15.11,1.18,60,4872,199,0,2,2434
SELL_00097,56605.98,21.85,13.31,87.78,3.89,-0.082,7.52,2.43,24,2496,114,0,0,28302
SELL_00098,81582.28,8.73,12.12,86.4,3.95,-0.149,5.43,2.31,50,5000,251,0,0,40791
SELL_00099,47032.42,2.04,9.61,77.16,4.14,-0.173,9.52,2.76,49,4537,233,0,0,23516
SELL_00100,65065.08,5.59,12.05,75.93,3.54,0.311,11.65,1.84,51,5000,213,0,1,17892
SELL_00101,23961.64,-12.78,20.29,77.92,3.04,-0.291,13.96,0.84,32,2883,83,0,2,1677
SELL_00102,36352.34,16.49,16.6,80.18,3.26,0.053,13.66,2.14,41,3311,224,0,1,9996
SELL_00103,20195.36,4.57,11.19,80.81,3.22,-0.275,13.56,2.22,36,2998,113,0,1,5553
SELL_00104,61845.47,3.04,17.41,77.96,3.51,0.117,10.38,2.52,58,4960,242,0,1,17007
SELL_00105,78296.74,15.08,16.91,88.04,3.51,0.033,10.11,2.53,53,5000,267,0,0,39148
SELL_00106,55519.0,9.66,11.86,82.64,3.84,0.09,7.19,2.87,34,3501,97,0,0,27759
SELL_00107,118914.87,27.74,7.46,97.78,4.93,0.288,1.87,4.29,36,4930,269,0,0,75213
SELL_00108,46551.32,7.21,14.62,83.98,3.98,0.1,6.55,2.36,2,1093,39,0,1,12801
SELL_00109,48642.27,1.96,9.74,77.14,4.25,0.152,9.42,2.78,15,2058,106,0,0,24321
SELL_00110,62093.63,10.81,18.44,78.25,4.05,-0.099,9.49,2.51,34,3788,154,0,1,11953
SELL_00111,5000.0,-0.95,21.22,68.06,3.42,-0.329,15.11,0.57,36,2273,124,0,2,350
SELL_00112,32469.58,9.89,14.43,86.21,3.63,0.004,14.36,2.15,6,944,62,0,1,8929
SELL_00113,73658.26,17.68,13.01,87.27,3.5,0.11,10.28,2.57,39,4561,191,0,0,36829
SELL_00114,147878.37,28.53,6.72,98.19,4.57,0.286,1.61,4.19,42,5000,274,0,0,93533
SELL_00115,60587.99,-1.3544984711986938,13.021300303597943,64.3051522490655,3.2703214021753175,0.093,11.23,1.587546442295382,51,5000,273,1,2,0
SELL_00116,100349.04,7.66,17.1,80.17,3.9,0.129,6.7,2.84,51,5000,246,0,1,27595
SELL_00117,105654.12,15.2,15.69,86.34,3.81,-0.037,12.59,2.56,58,5000,317,0,0,52827
SELL_00118,15930.29,-2.46,20.42,69.85,3.11,-0.402,8.26,1.91,54,4098,247,0,2,1115
SELL_00119,53507.57,17.69,9.76,88.44,3.97,0.062,5.46,2.86,12,1726,79,0,0,26753
SELL_00120,63183.73,21.19,9.79,95.97,3.95,0.352,8.6,3.47,3,1411,55,0,0,34751
SELL_00121,61121.87,14.55,9.11,84.67,3.82,0.146,9.79,2.99,45,4660,215,0,0,30560
SELL_00122,22418.82,8.32,17.93,71.46,3.25,-0.205,10.16,1.77,18,1178,64,0,2,2241
SELL_00123,110451.52,26.16,6.65,83.35,4.71,0.206,3.43,3.77,40,5000,250,0,0,60748
SELL_00124,15807.96,-4.62,17.88,83.2,2.44,-0.067,13.77,1.11,21,1317,63,0,2,1580
SELL_00125,64404.23,6.61,13.22,86.92,3.45,-0.025,12.1,2.29,15,2960,139,0,1,17711
SELL_00126,130430.37,36.02,4.15,91.67,4.82,0.448,0.36,4.4,33,4960,286,0,0,71736
SELL_00127,33357.88,3.44,18.23,75.3,3.57,-0.045,10.67,0.9,35,2760,154,0,2,2335
SELL_00128,24636.77,6.69,15.0,75.95,3.25,-0.233,11.35,2.52,26,2453,97,0,1,6775
SELL_00129,16828.52,11.82,9.85,75.14,3.09,0.14,8.1,2.25,8,895,46,0,1,4627
SELL_00130,73938.26,4.49,12.37,82.13,3.81,-0.122,8.44,2.35,36,4007,153,0,1,20333
SELL_00131,5000.0,-5.06,21.39,72.83,2.84,-0.213,12.83,1.14,48,3525,170,0,2,350
SELL_00132,20069.74,6.8,10.6,85.23,3.59,-0.144,9.74,2.24,30,2605,148,0,0,10034
SELL_00133,23417.89,8.17,18.56,75.65,3.22,-0.033,11.47,1.11,23,1596,45,0,1,4507
SELL_00134,76336.36,6.7479669009007575,16.27146401586741,73.31551132293663,3.3769677777990297,0.035,11.07,1.8426835112938889,42,4861,233,1,2,0
SELL_00135,27312.8,-1.71,15.73,67.54,3.09,-0.009,12.92,1.7,44,3396,159,0,2,2731
SELL_00136,82629.77,32.44,14.83,94.93,4.05,0.103,6.41,3.69,14,2936,137,0,0,45446
SELL_00137,5000.0,2.243156432512606,14.39568074208981,60.40798908007555,3.0484020873258304,-0.194,12.81,1.4612897994255005,14,1143,53,1,2,0
SELL_00138,5000.0,7.09,11.98,76.74,3.65,-0.151,10.67,1.92,2,112,19,0,1,1375
SELL_00139,88635.67,18.16,9.99,84.77,4.28,0.157,5.95,3.12,55,5000,273,0,0,48749
SELL_00140,9199.79,-6.932939832934966,25.0,60.0,2.177744814722023,-0.25,12.44,0.5,37,2531,96,1,2,0
SELL_00141,28656.68,10.99,12.22,81.03,3.77,-0.003,6.36,2.12,5,990,56,0,1,7880
SELL_00142,121384.0,19.28,9.3,87.23,4.41,0.079,9.7,3.23,38,4643,251,0,0,66761
SELL_00143,20053.33,-0.96,17.66,70.84,2.68,-0.127,15.46,0.69,45,3561,152,0,2,2005
SELL_00144,61953.16,22.49,13.16,76.3,3.85,-0.238,3.49,2.97,41,4288,225,0,1,17037
SELL_00145,82624.89,17.59,10.94,87.27,4.15,0.068,10.77,1.98,54,5000,238,0,0,41312
SELL_00146,95528.0,4.155175470578946,14.775057198596452,81.59417996502381,3.782125473733917,0.354,3.96,2.271296093935803,60,5000,269,1,1,7881
SELL_00147,9701.33,1.32,19.01,71.12,3.01,0.037,13.5,1.39,47,3259,162,0,2,679
SELL_00148,5000.0,-1.15,16.75,71.75,2.98,-0.251,8.26,1.86,14,316,17,0,2,500
SELL_00149,91728.66,19.44,8.08,88.48,4.2,0.137,6.66,2.48,56,5000,262,0,0,45864
SELL_00150,67061.37,8.81,12.23,82.75,3.84,0.081,11.08,2.01,39,4478,203,0,1,18441
SELL_00151,40178.81,12.03,15.3,78.54,4.05,0.25,11.03,2.78,25,2329,127,0,1,11049
SELL_00152,31242.15,17.63,9.79,83.74,3.85,-0.335,8.9,2.56,20,1962,92,0,0,15621
SELL_00153,29080.9,-2.41,15.95,73.57,3.39,0.085,12.47,1.55,2,542,5,0,2,2908
SELL_00154,76568.12,10.99,8.91,80.56,4.0,-0.012,5.51,2.64,39,4409,203,0,0,38284
SELL_00155,26459.88,0.295712808690622,12.828590520078146,74.61659206905676,2.8296915578127004,-0.076,10.01,2.197843950023006,6,1557,82,1,2,0
SELL_00156,22709.2,9.41,18.62,81.93,3.28,-0.201,12.79,1.88,17,1701,85,0,2,1589
SELL_00157,165324.61,38.08,8.74,100.0,4.55,0.029,9.55,3.89,59,5000,351,0,0,100000
SELL_00158,65358.59,3.57,12.04,90.29,4.1,-0.035,6.49,3.19,25,2969,144,0,0,32679
SELL_00159,60827.73,2.0592309771052335,13.542489613281314,61.89327514663846,2.7713467909051257,-0.305,11.98,0.5678887496755736,57,5000,220,1,2,0
SELL_00160,50021.64,18.57177169063219,15.318486810564035,80.58204090247142,3.2887443312234224,0.106,7.78,1.8156873831460456,28,3486,167,1,1,4126
SELL_00161,5000.0,7.14,18.33,78.38,2.75,-0.028,13.65,1.53,2,50,5,0,2,350
SELL_00162,83084.88,15.27,7.46,82.8,3.63,0.056,9.43,2.24,35,4258,178,0,0,41542
SELL_00163,104362.33,21.11,8.3,89.33,4.28,0.364,8.27,3.44,37,4901,225,0,0,57399
SELL_00164,5000.0,-7.72,18.0,74.45,2.98,-0.181,13.64,1.3,5,95,26,0,2,500
SELL_00165,49980.76,5.64,6.15,82.79,4.11,0.069,3.78,2.48,1,1172,81,0,1,13744
SELL_00166,53689.59,11.82,8.06,79.78,3.47,-0.021,3.38,2.6,40,4177,174,0,0,26844
SELL_00167,42922.31,10.399989058192302,11.031386828707397,77.06670174025993,3.709934292304539,0.188,5.73,2.047374147839025,12,2146,113,1,1,3541
SELL_00168,120504.2,30.26,7.39,96.4,4.8,0.333,3.98,3.22,56,5000,293,0,0,76218
SELL_00169,59802.11,13.95,12.34,84.8,3.59,0.045,8.56,1.66,36,3838,168,0,1,16445
SELL_00170,21395.52,21.41,16.86,72.5,3.81,-0.109,9.62,2.39,45,3662,162,0,1,5883
SELL_00171,10265.31,-0.98,15.85,75.45,3.45,-0.308,10.57,1.29,23,1855,129,0,2,1026
SELL_00172,17322.66,-3.99,20.37,79.05,3.25,-0.146,12.49,1.63,47,3725,188,0,2,1212
SELL_00173,74606.1,14.39,10.14,82.14,3.64,0.212,7.32,1.7,31,3690,170,0,0,37303
SELL_00174,65048.28,15.32,13.65,86.83,3.22,0.193,8.9,3.15,11,2103,140,0,0,35776
SELL_00175,5000.0,7.02,9.91,81.92,3.94,0.077,8.18,2.5,10,744,60,0,1,1375
SELL_00176,42195.98,14.255609502290993,17.2943855779611,79.30843207502834,3.3741156511631014,0.042,8.48,2.006858469941988,3,1341,85,1,2,0
SELL_00177,77252.82,7.1,13.85,82.06,3.28,-0.0,11.96,2.45,54,5000,216,0,1,21244
SELL_00178,108559.24,24.28,6.49,93.75,3.93,0.117,9.35,4.12,14,3090,152,0,0,59707
SELL_00179,52746.16,8.09,13.25,78.89,3.68,0.147,8.22,1.86,16,1849,127,0,1,14505
SELL_00180,118418.99,30.0,4.38,98.55,5.0,0.201,0.0,4.22,10,3451,163,0,0,74900
SELL_00181,38671.03,4.68,9.54,79.37,3.93,0.214,7.15,3.64,29,3086,148,0,0,19335
SELL_00182,14874.8,3.2,18.08,73.51,2.92,-0.182,8.63,1.33,10,840,33,0,2,1041
SELL_00183,5274.23,7.91,14.52,74.74,2.72,0.07,17.95,1.07,12,795,86,0,2,527
SELL_00184,75094.74,21.38,16.19,85.3,4.22,0.122,5.83,1.85,30,3792,188,0,0,37547
SELL_00185,47252.12,14.74,15.86,91.38,3.72,-0.139,10.71,2.05,41,4476,162,0,1,12994
SELL_00186,37017.07,10.77,11.98,84.76,3.74,0.039,9.55,2.18,1,857,98,0,1,10179
SELL_00187,39044.69,15.02,19.03,79.33,3.6,0.164,9.01,2.29,5,980,27,0,1,7516
SELL_00188,56576.16,1.7,12.3,88.37,3.74,-0.084,13.41,1.37,20,2022,160,0,1,15558
SELL_00189,5000.0,2.49,17.17,81.23,3.32,-0.098,10.9,2.0,8,221,49,0,1,1375
SELL_00190,30445.41,5.74,18.63,68.28,2.81,-0.259,11.59,0.5,43,3689,185,0,2,2131
SELL_00191,5000.0,13.2,17.0,81.18,3.07,0.21,9.04,0.93,12,1045,18,0,1,1375
SELL_00192,50374.93,29.55,14.67,90.48,3.62,0.392,9.04,2.42,1,822,72,0,1,13853
SELL_00193,86494.26,19.97,13.7,83.94,3.76,0.245,8.28,2.88,57,5000,263,0,1,23785
SELL_00194,5000.0,1.14,19.66,75.83,3.04,-0.168,10.67,0.96,54,4086,170,0,2,350
SELL_00195,39473.07,16.61,10.57,80.51,4.08,-0.04,9.24,2.32,20,2336,84,0,0,19736
SELL_00196,78137.61,19.07,11.49,86.33,3.69,-0.071,9.82,2.67,28,3976,170,0,0,39068
SELL_00197,47605.1,-1.53,20.2,74.73,3.07,0.124,12.23,1.34,57,5000,237,0,2,3332
SELL_00198,78331.4,4.05,14.37,72.34,3.49,0.158,10.9,2.75,43,4817,240,0,1,21541
SELL_00199,66640.38,17.09,13.47,83.13,3.67,0.154,9.26,2.15,37,4142,167,0,1,18326
SELL_00200,22608.74,4.797665738306359,18.82814543273701,60.0,2.2693162571414205,-0.175,11.37,0.5,47,3940,168,1,2,0
SELL_00201,58727.72,19.34,14.28,88.2,3.83,-0.221,9.91,3.41,37,3900,157,0,0,32300
SELL_00202,45869.06,3.45,9.92,80.84,3.48,-0.162,6.52,2.56,12,1873,138,0,1,12613
SELL_00203,97602.23,18.43,6.41,78.69,4.46,0.139,3.82,3.29,37,4863,223,0,0,53681
SELL_00204,107822.32,20.64,9.78,81.25,4.25,0.048,8.7,3.03,49,5000,286,0,0,59302
SELL_00205,35294.61,-12.39,10.45,73.57,3.66,-0.261,11.27,0.5,49,3843,189,0,2,3529
SELL_00206,63006.27,-11.894767042506007,23.056708059722247,69.16771750444536,2.9813406682124675,-0.061,14.85,0.9534113773382624,56,5000,252,1,2,0
SELL_00207,90994.02,12.42637423510254,18.55763180935756,67.04734849274152,2.4856215117343123,0.214,10.48,2.7327491397893287,44,4841,205,1,2,0
SELL_00208,92970.74,18.33,9.76,80.79,4.38,-0.044,6.47,3.28,56,5000,291,0,0,51133
SELL_00209,35477.48,7.98,10.56,85.06,4.0,-0.134,8.74,2.44,28,2570,161,0,0,17738
SELL_00210,200000.0,40.0,2.0,100.0,5.0,0.361,4.95,5.0,47,5000,424,0,0,100000
SELL_00211,58489.08,22.65,9.73,80.59,3.58,-0.088,9.67,2.71,15,1922,91,0,1,16084
SELL_00212,65859.77,18.08,10.08,90.33,4.03,0.225,7.66,3.23,6,1727,128,0,0,36222
SELL_00213,110174.15,19.7,9.19,80.77,4.2,0.114,5.46,3.3,44,5000,252,0,0,60595
SELL_00214,84305.93,14.15,11.11,87.17,4.03,0.36,11.15,2.85,59,5000,299,0,0,42152
SELL_00215,47071.87,-5.657774260820989,19.372389450029285,70.14797866018672,2.3014502491055486,0.072,13.24,1.1879848388304903,20,2345,98,1,2,0
SELL_00216,102469.86,27.01,8.55,88.65,4.78,0.363,5.17,3.12,50,5000,294,0,0,56358
SELL_00217,5000.0,-3.21,15.98,81.34,3.43,-0.303,14.79,1.99,14,739,61,0,2,500
SELL_00218,5000.0,7.43,15.78,84.29,3.51,-0.5,10.19,3.15,2,360,5,0,1,1375
SELL_00219,18643.64,5.1,12.91,86.48,3.66,-0.022,8.5,1.66,9,634,77,0,1,5127
SELL_00220,68616.67,0.4,13.46,82.93,3.88,0.028,7.58,2.41,37,4232,207,0,1,18869
SELL_00221,127840.67,34.35,7.31,100.0,4.47,0.259,5.36,3.92,20,4337,217,0,0,80859
SELL_00222,5000.0,-15.95,15.31,67.02,3.1,-0.21,11.95,0.85,26,1866,31,0,2,500
SELL_00223,72410.1,20.92,12.97,85.3,4.17,-0.086,5.02,3.22,29,3617,149,0,0,39825
SELL_00224,5000.0,-11.77,23.74,71.86,2.62,-0.109,12.8,0.67,1,50,5,0,2,350
SELL_00225,53988.11,10.06,13.82,75.0,3.76,0.054,9.45,1.08,55,4809,242,0,1,14846
SELL_00226,75000.91,17.88,9.2,79.09,4.1,-0.049,5.16,3.5,35,4015,179,0,0,41250
SELL_00227,28982.48,5.92,12.39,85.86,3.61,-0.045,8.23,2.28,6,606,13,0,1,7970
SELL_00228,37421.27,2.51,17.72,71.81,3.35,-0.173,13.57,1.21,37,3386,166,0,2,3742
SELL_00229,55974.45,-3.75,15.88,76.1,3.79,-0.186,11.0,1.51,53,5000,232,0,1,15392
SELL_00230,116852.88,18.86,6.91,92.42,3.94,-0.093,6.48,2.88,59,5000,284,0,0,58426
SELL_00231,5000.0,7.1,13.23,79.91,3.29,-0.086,10.26,1.3,5,249,17,0,1,1375
SELL_00232,39445.55,17.96,12.82,90.26,4.27,0.065,7.78,2.3,33,3708,110,0,0,19722
SELL_00233,61294.54,8.65,12.44,82.76,3.72,-0.086,8.9,1.75,49,4833,250,0,1,16855
SELL_00234,80054.08,4.89,11.95,80.31,3.51,-0.242,10.55,1.42,51,5000,190,0,1,22014
SELL_00235,124296.9,22.41,9.39,93.9,5.0,0.319,5.07,4.35,14,3618,180,0,0,68363
SELL_00236,39912.05,4.580649063068293,14.803761134691808,75.3815920591932,3.6003816182572272,-0.039,7.93,1.5661917693453868,12,1681,41,1,2,0
SELL_00237,11396.29,-16.99,20.01,72.06,2.43,-0.289,15.19,0.87,42,3049,141,0,2,797
SELL_00238,60905.49,15.18,12.37,81.38,3.49,-0.043,11.89,1.81,20,2442,98,0,1,16749
SELL_00239,60289.81,10.77,12.0,80.61,3.64,0.107,14.31,1.79,53,4805,181,0,1,16579
SELL_00240,113886.39,17.79,10.47,84.83,4.24,-0.006,4.35,3.16,50,5000,255,0,0,62637
SELL_00241,10998.88,-4.14,16.51,76.54,3.3,0.164,8.07,1.87,24,1747,79,0,1,3024
SELL_00242,76611.11,12.76,11.2,80.93,4.28,0.099,7.99,2.63,59,5000,288,0,0,38305
SELL_00243,65941.84,10.13,10.71,89.34,3.79,0.334,9.61,2.56,43,4512,211,0,0,32970
SELL_00244,102680.59,24.09,11.78,85.5,4.04,0.204,7.77,2.85,34,4517,234,0,0,51340
SELL_00245,5108.55,10.27,12.68,79.55,2.59,-0.177,15.0,1.28,25,1581,90,0,1,1404
